Type,SKU,Name,Short description,Description,Weight (lbs),Regular price
simple,SERF1554-55P-12-13-156,SERF1554-55P-12-13-156,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-3""",1.755,3.94875
simple,SERF1554-55P-12-13-160,SERF1554-55P-12-13-160,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-4""",1.8,4.05
simple,SERF1554-55P-12-13-164,SERF1554-55P-12-13-164,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-5""",1.845,4.15125
simple,SERF1554-55P-12-13-168,SERF1554-55P-12-13-168,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-6""",1.89,4.2525
simple,SERF1554-55P-12-13-172,SERF1554-55P-12-13-172,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-7""",1.935,4.35375
simple,SERF1554-55P-12-13-176,SERF1554-55P-12-13-176,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-8""",1.98,4.455
simple,SERF1554-55P-12-13-180,SERF1554-55P-12-13-180,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-9""",2.025,4.55625
simple,SERF1554-55P-12-13-184,SERF1554-55P-12-13-184,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-10""",2.07,4.6575
simple,SERF1554-55P-12-13-188,SERF1554-55P-12-13-188,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 3'-11""",2.115,4.75875
simple,SERF1554-55P-12-13-192,SERF1554-55P-12-13-192,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'",2.16,4.86
simple,SERF1554-55P-12-13-196,SERF1554-55P-12-13-196,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-1""",2.205,4.96125
simple,SERF1554-55P-12-13-200,SERF1554-55P-12-13-200,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-2""",2.25,5.0625
simple,SERF1554-55P-12-13-204,SERF1554-55P-12-13-204,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-3""",2.295,5.16375
simple,SERF1554-55P-12-13-208,SERF1554-55P-12-13-208,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-4""",2.34,5.265
simple,SERF1554-55P-12-13-212,SERF1554-55P-12-13-212,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-5""",2.385,5.36625
simple,SERF1554-55P-12-13-216,SERF1554-55P-12-13-216,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-6""",2.43,5.4675
simple,SERF1554-55P-12-13-220,SERF1554-55P-12-13-220,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-7""",2.475,5.56875
simple,SERF1554-55P-12-13-224,SERF1554-55P-12-13-224,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-8""",2.52,5.67
simple,SERF1554-55P-12-13-228,SERF1554-55P-12-13-228,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-9""",2.565,5.77125
simple,SERF1554-55P-12-13-232,SERF1554-55P-12-13-232,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-10""",2.61,5.8725
simple,SERF1554-55P-12-13-236,SERF1554-55P-12-13-236,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 4'-11""",2.655,5.97375
simple,SERF1554-55P-12-13-240,SERF1554-55P-12-13-240,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'",2.7,6.075
simple,SERF1554-55P-12-13-244,SERF1554-55P-12-13-244,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-1""",2.745,6.17625
simple,SERF1554-55P-12-13-248,SERF1554-55P-12-13-248,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-2""",2.79,6.2775
simple,SERF1554-55P-12-13-252,SERF1554-55P-12-13-252,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-3""",2.835,6.37875
simple,SERF1554-55P-12-13-256,SERF1554-55P-12-13-256,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-4""",2.88,6.48
simple,SERF1554-55P-12-13-260,SERF1554-55P-12-13-260,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-5""",2.925,6.58125
simple,SERF1554-55P-12-13-264,SERF1554-55P-12-13-264,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-6""",2.97,6.6825
simple,SERF1554-55P-12-13-268,SERF1554-55P-12-13-268,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-7""",3.015,6.78375
simple,SERF1554-55P-12-13-272,SERF1554-55P-12-13-272,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-8""",3.06,6.885
simple,SERF1554-55P-12-13-276,SERF1554-55P-12-13-276,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-9""",3.105,6.98625
simple,SERF1554-55P-12-13-280,SERF1554-55P-12-13-280,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-10""",3.15,7.0875
simple,SERF1554-55P-12-13-284,SERF1554-55P-12-13-284,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 5'-11""",3.195,7.18875
simple,SERF1554-55P-12-13-288,SERF1554-55P-12-13-288,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'",3.24,7.29
simple,SERF1554-55P-12-13-292,SERF1554-55P-12-13-292,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-1""",3.285,7.39125
simple,SERF1554-55P-12-13-296,SERF1554-55P-12-13-296,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-2""",3.33,7.4925
simple,SERF1554-55P-12-13-300,SERF1554-55P-12-13-300,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-3""",3.375,7.59375
simple,SERF1554-55P-12-13-304,SERF1554-55P-12-13-304,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-4""",3.42,7.695
simple,SERF1554-55P-12-13-308,SERF1554-55P-12-13-308,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-5""",3.465,7.79625
simple,SERF1554-55P-12-13-312,SERF1554-55P-12-13-312,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-6""",3.51,7.8975
simple,SERF1554-55P-12-13-316,SERF1554-55P-12-13-316,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-7""",3.555,7.99875
simple,SERF1554-55P-12-13-320,SERF1554-55P-12-13-320,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-8""",3.6,8.1
simple,SERF1554-55P-12-13-324,SERF1554-55P-12-13-324,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-9""",3.645,8.20125
simple,SERF1554-55P-12-13-328,SERF1554-55P-12-13-328,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-10""",3.69,8.3025
simple,SERF1554-55P-12-13-332,SERF1554-55P-12-13-332,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 6'-11""",3.735,8.40375
simple,SERF1554-55P-12-13-336,SERF1554-55P-12-13-336,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'",3.78,8.505
simple,SERF1554-55P-12-13-340,SERF1554-55P-12-13-340,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-1""",3.825,8.60625
simple,SERF1554-55P-12-13-344,SERF1554-55P-12-13-344,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-2""",3.87,8.7075
simple,SERF1554-55P-12-13-348,SERF1554-55P-12-13-348,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-3""",3.915,8.80875
simple,SERF1554-55P-12-13-352,SERF1554-55P-12-13-352,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-4""",3.96,8.91
simple,SERF1554-55P-12-13-356,SERF1554-55P-12-13-356,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-5""",4.005,9.01125
simple,SERF1554-55P-12-13-360,SERF1554-55P-12-13-360,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-6""",4.05,9.1125
simple,SERF1554-55P-12-13-364,SERF1554-55P-12-13-364,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-7""",4.095,9.21375
simple,SERF1554-55P-12-13-368,SERF1554-55P-12-13-368,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-8""",4.14,9.315
simple,SERF1554-55P-12-13-372,SERF1554-55P-12-13-372,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-9""",4.185,9.41625
simple,SERF1554-55P-12-13-376,SERF1554-55P-12-13-376,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-10""",4.23,9.5175
simple,SERF1554-55P-12-13-380,SERF1554-55P-12-13-380,Manufacturer: Abrafast,"ASTM F1554-Grade 55 Plain Single End Rod - 1/2""-13 x 7'-11""",4.275,9.61875
