Part Number,Description,Cost
ATRF1554-55P-1-14-7-48,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/4""-7 x 1'",5.256
ATRF1554-55P-1-14-7-96,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/4""-7 x 2'",10.512
ATRF1554-55P-1-14-7-144,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/4""-7 x 3'",15.768
ATRF1554-55P-1-14-7-192,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/4""-7 x 4'",21.024
ATRF1554-55P-1-14-7-240,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/4""-7 x 5'",26.28
ATRF1554-55P-1-14-7-288,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/4""-7 x 6'",31.536
ATRF1554-55P-1-38-6-48,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-3/8""-6 x 1'",6.264
ATRF1554-55P-1-38-6-96,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-3/8""-6 x 2'",12.528
ATRF1554-55P-1-38-6-144,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-3/8""-6 x 3'",18.792
ATRF1554-55P-1-38-6-192,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-3/8""-6 x 4'",25.056
ATRF1554-55P-1-38-6-240,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-3/8""-6 x 5'",31.32
ATRF1554-55P-1-38-6-288,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-3/8""-6 x 6'",37.584
ATRF1554-55P-1-12-6-48,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/2""-6 x 1'",7.6446
ATRF1554-55P-1-12-6-96,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/2""-6 x 2'",15.2892
ATRF1554-55P-1-12-6-144,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/2""-6 x 3'",22.9338
ATRF1554-55P-1-12-6-192,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/2""-6 x 4'",30.5784
ATRF1554-55P-1-12-6-240,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/2""-6 x 5'",38.223
ATRF1554-55P-1-12-6-288,"ASTM F1554-Grade 55 Plain All Threaded Rod - 1-1/2""-6 x 6'",45.8676
